Testcase ID,Target_URL,Locator_LoginBTN,Locator_AddressBTN,Locator_NewBTN,Locator_Username,Locator_Password,Locator_FN,Locator_LN,Locator_Address1,Locator_City,Locator_Postcode,Locator_Country,Locator_Region,Locator_ContinueBTN,Locator_LogoutBTN,Locator_Message,Username,Password,First Name,Last Name,Address1,City,Postcode,Country,Region,Type,Expected Message
TC-004-011,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[2]/div/div",nghiep.test@gmail.com,QWERT@2004,John,,123 Main St,New York,12345,United Kingdom,Aberdeen,Text,Last Name must be between 1 and 32 characters!
TC-004-012,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[2]/div/div",nghiep.test@gmail.com,QWERT@2004,John,LastNameIsWayTooLongForThisSpecificField33,123 Main St,New York,12345,United Kingdom,Aberdeen,Text,Last Name must be between 1 and 32 characters!
TC-004-013,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[4]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,,New York,12345,United Kingdom,Aberdeen,Text,Address must be between 3 and 128 characters!
TC-004-014,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[4]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,12,New York,12345,United Kingdom,Aberdeen,Text,Address must be between 3 and 128 characters!
TC-004-015,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[4]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,New York,12345,United Kingdom,Aberdeen,Text,Address must be between 3 and 128 characters!
TC-004-016,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[6]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,,12345,United Kingdom,Aberdeen,Text,City must be between 2 and 128 characters!
TC-004-017,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[6]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,N,12345,United Kingdom,Aberdeen,Text,City must be between 2 and 128 characters!
TC-004-018,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[6]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,12346,United Kingdom,Aberdeen,Text,City must be between 2 and 128 characters!
TC-004-019,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[7]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,New York,,United Kingdom,Aberdeen,Text,Postcode must be between 2 and 10 characters!
TC-004-020,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[7]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,New York,1,United Kingdom,Aberdeen,Text,Postcode must be between 2 and 10 characters!
TC-004-021,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[7]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,New York,12345678900,United Kingdom,Aberdeen,Text,Postcode must be between 2 and 10 characters!
TC-004-022,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[8]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,New York,12345,--- Please Select ---,--- Please Select ---,Text,Please select a country!
TC-004-023,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[9]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,New York,12345,United Kingdom,--- Please Select ---,Text,Please select a region / state!
TC-004-024,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""account-address""]/div[1]",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,New York,12345,United Kingdom,Aberdeen,Text,Your address has been successfully added
TC-004-025,https://ecommerce-playground.lambdatest.io/index.php?route=account/login,"//*[@id=""content""]/div/div[2]/div/div/form/input","//*[@id=""content""]/div[1]/div/div/div[3]",/html/body/div[1]/div[5]/div[1]/div/div/div/div[2]/a,"//*[@id=""input-email""]","//*[@id=""input-password""]","//*[@id=""input-firstname""]","//*[@id=""input-lastname""]","//*[@id=""input-address-1""]","//*[@id=""input-city""]","//*[@id=""input-postcode""]","//*[@id=""input-country""]","//*[@id=""input-zone""]","//*[@id=""content""]/form/div/div[2]","//*[@id=""column-right""]/div/a[14]","//*[@id=""content""]/form/fieldset/div[7]/div/div",nghiep.test@gmail.com,QWERT@2004,John,Doe,123 Main St,New York,,United Kingdom,Aberdeen,Text,Postcode must be between 2 and 10 characters!
